State,GDP Per Capita
Alabama,50637
Alaska,68919
Arizona,56667
Arkansas,51787
California,77339
Colorado,74167
Connecticut,84972
Delaware,61387
District of Columbia,96728
Florida,63597
Georgia,57129
Hawaii,61175
Idaho,54537
Illinois,68822
Indiana,57930
Iowa,58905
Kansas,60152
Kentucky,52109
Louisiana,54622
Maine,59463
Maryland,70730
Massachusetts,84945
Michigan,56813
Minnesota,68010
Mississippi,46248
Missouri,56551
Montana,57719
Nebraska,63321
Nevada,61282
New Hampshire,74663
New Jersey,78700
New Mexico,51500
New York,78089
North Carolina,57416
North Dakota,66184
Ohio,57880
Oklahoma,54998
Oregon,62767
Pennsylvania,65167
Rhode Island,65377
South Carolina,53320
South Dakota,65806
Tennessee,58279
Texas,61985
Utah,57925
Vermont,63206
Virginia,68211
Washington,75698
West Virginia,49169
Wisconsin,61210
Wyoming,71342
